n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,split,coverage,width
32,0.09375,0.90625,0.0,0.3333333333333333,0.13793103448275862,0.15625,crc,0.15625,0.15625,16,iid,0.0,0.0
32,0.09375,0.90625,0.0,0.3333333333333333,0.13793103448275862,0.15625,rac,0.15625,0.15625,16,iid,0.0,0.0
19,0.0,0.3684210526315789,0.631578947368421,,0.0,0.0,split_cp,0.0,0.12631578947368424,16,ood,0.9473684210526315,0.5477265751735253
19,0.05263157894736842,0.9473684210526315,0.0,1.0,0.0,0.05263157894736842,crc,0.05263157894736842,0.05263157894736842,16,ood,0.0,0.0
19,0.05263157894736842,0.9473684210526315,0.0,1.0,0.0,0.05263157894736842,rac,0.05263157894736842,0.05263157894736842,16,ood,0.0,0.0
31,0.06451612903225806,0.3548387096774194,0.5806451612903226,0.0,0.09090909090909091,0.03225806451612903,split_cp,0.03225806451612903,0.14838709677419357,17,iid,0.8064516129032258,0.3462622622679316
31,0.1935483870967742,0.8064516129032258,0.0,0.16666666666666666,0.16,0.16129032258064516,crc,0.16129032258064516,0.16129032258064516,17,iid,0.0,0.0
31,0.1935483870967742,0.8064516129032258,0.0,0.16666666666666666,0.16,0.16129032258064516,rac,0.16129032258064516,0.16129032258064516,17,iid,0.0,0.0
67,0.1044776119402985,0.22388059701492538,0.6716417910447762,0.0,0.0,0.0,split_cp,0.0,0.13432835820895522,17,ood,0.8805970149253731,0.4671312298134264
67,0.29850746268656714,0.6716417910447762,0.029850746268656716,0.05,0.24444444444444444,0.1791044776119403,crc,0.1791044776119403,0.18507462686567164,17,ood,0.07462686567164178,0.02439061380347136
67,0.29850746268656714,0.6716417910447762,0.029850746268656716,0.05,0.24444444444444444,0.1791044776119403,rac,0.1791044776119403,0.18507462686567164,17,ood,0.07462686567164178,0.02439061380347136
31,0.06451612903225806,0.22580645161290322,0.7096774193548387,0.0,0.14285714285714285,0.03225806451612903,split_cp,0.03225806451612903,0.17419354838709677,18,iid,0.8387096774193549,0.42971698017830684
31,0.3225806451612903,0.45161290322580644,0.22580645161290322,0.1,0.07142857142857142,0.06451612903225806,crc,0.06451612903225806,0.10967741935483871,18,iid,0.3225806451612903,0.07253236919045658
31,0.3225806451612903,0.45161290322580644,0.22580645161290322,0.1,0.07142857142857142,0.06451612903225806,rac,0.06451612903225806,0.10967741935483871,18,iid,0.3225806451612903,0.07253236919045658
40,0.0,0.1,0.9,,0.0,0.0,split_cp,0.0,0.18,18,ood,0.975,0.9505711080314138
40,0.025,0.975,0.0,1.0,0.0,0.025,crc,0.025,0.025,18,ood,0.0,0.0
40,0.025,0.975,0.0,1.0,0.0,0.025,rac,0.025,0.025,18,ood,0.0,0.0
32,0.0,0.28125,0.71875,,0.0,0.0,split_cp,0.0,0.14375000000000002,19,iid,1.0,0.571384889874053
32,0.15625,0.84375,0.0,0.2,0.07407407407407407,0.09375,crc,0.09375,0.09375,19,iid,0.0,0.0
32,0.15625,0.84375,0.0,0.2,0.07407407407407407,0.09375,rac,0.09375,0.09375,19,iid,0.0,0.0
60,0.1,0.0,0.9,0.0,,0.0,split_cp,0.0,0.17999999999999997,19,ood,0.9833333333333333,1.2582809176937866
60,0.43333333333333335,0.2833333333333333,0.2833333333333333,0.038461538461538464,0.35294117647058826,0.11666666666666667,crc,0.11666666666666667,0.17333333333333334,19,ood,0.13333333333333333,0.04128127166516195
60,0.43333333333333335,0.2833333333333333,0.2833333333333333,0.038461538461538464,0.35294117647058826,0.11666666666666667,rac,0.11666666666666667,0.17333333333333334,19,ood,0.13333333333333333,0.04128127166516195
