method,seed,t,R
uncertainty,16,0.05,0.15625
uncertainty,16,0.1,0.15625
uncertainty,16,0.2,0.125
uncertainty,16,0.3,0.09375
uncertainty,16,0.5,0.0625
uncertainty,17,0.05,0.16129032258064516
uncertainty,17,0.1,0.12903225806451613
uncertainty,17,0.2,0.0967741935483871
uncertainty,17,0.3,0.0967741935483871
uncertainty,17,0.5,0.06451612903225806
uncertainty,18,0.05,0.16129032258064516
uncertainty,18,0.1,0.12903225806451613
uncertainty,18,0.2,0.0967741935483871
uncertainty,18,0.3,0.0967741935483871
uncertainty,18,0.5,0.0967741935483871
uncertainty,19,0.05,0.09375
uncertainty,19,0.1,0.0625
uncertainty,19,0.2,0.0625
uncertainty,19,0.3,0.03125
uncertainty,19,0.5,0.03125
