n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,c_e,theta_drop,testing_region,lambda
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval,0.20689655172413793,0.20948275862068966,3,0.025,,,2.99925337600756
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval_cost,0.20689655172413793,0.20948275862068966,3,0.025,,,2.99925337600756
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,bayes,0.20689655172413793,0.21206896551724136,3,0.05,0.05,1.0,
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,risktriage,0.20689655172413793,0.21206896551724136,3,0.05,0.05,1.0,1.6929926543655855
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval,0.20689655172413793,0.21206896551724136,3,0.05,,,2.99925337600756
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval_cost,0.20689655172413793,0.21206896551724136,3,0.05,,,2.99925337600756
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,bayes,0.20689655172413793,0.21724137931034482,3,0.1,0.1,1.0,
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,risktriage,0.20689655172413793,0.21724137931034482,3,0.1,0.1,1.0,2.253378337998743
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval,0.20689655172413793,0.21724137931034482,3,0.1,,,2.99925337600756
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval_cost,0.20689655172413793,0.21724137931034482,3,0.1,,,2.99925337600756
29,0.3448275862068966,0.5862068965517241,0.06896551724137931,0.4,0.17647058823529413,0.2413793103448276,bayes,0.2413793103448276,0.25517241379310346,3,0.2,0.2,1.0,
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,risktriage,0.20689655172413793,0.22758620689655173,3,0.2,0.2,1.0,3.4602117537692565
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval,0.20689655172413793,0.22758620689655173,3,0.2,,,2.99925337600756
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval_cost,0.20689655172413793,0.22758620689655173,3,0.2,,,2.99925337600756
29,0.41379310344827586,0.5862068965517241,0.0,0.4166666666666667,0.17647058823529413,0.27586206896551724,bayes,0.27586206896551724,0.27586206896551724,3,0.4,0.4,1.0,
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,risktriage,0.20689655172413793,0.2482758620689655,3,0.4,0.4,1.0,10.859725360944426
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval,0.20689655172413793,0.2482758620689655,3,0.4,,,2.99925337600756
29,0.3448275862068966,0.5517241379310345,0.10344827586206896,0.4,0.125,0.20689655172413793,rac_interval_cost,0.20689655172413793,0.2482758620689655,3,0.4,,,2.99925337600756
