n,p_trust,p_drop,p_test,false_trust,false_drop,wrong_nontest,method,triage_risk,full_risk,seed,coverage,width
31,0.2903225806451613,0.7096774193548387,0.0,0.1111111111111111,0.0,0.03225806451612903,crc,0.03225806451612903,0.03225806451612903,11,0.0,0.0
31,0.2903225806451613,0.7096774193548387,0.0,0.1111111111111111,0.0,0.03225806451612903,rac,0.03225806451612903,0.03225806451612903,11,0.0,0.0
30,0.2,0.8,0.0,0.3333333333333333,0.16666666666666666,0.2,uncalibrated,0.2,0.2,12,0.0,0.0
30,0.2,0.8,0.0,0.3333333333333333,0.16666666666666666,0.2,point,0.2,0.2,12,0.0,0.0
30,0.0,0.2,0.8,,0.0,0.0,split_cp,0.0,0.16000000000000006,12,0.9666666666666667,0.6510991106681062
30,0.2,0.8,0.0,0.3333333333333333,0.16666666666666666,0.2,crc,0.2,0.2,12,0.0,0.0
30,0.2,0.8,0.0,0.3333333333333333,0.16666666666666666,0.2,rac,0.2,0.2,12,0.0,0.0
30,0.4,0.6,0.0,0.16666666666666666,0.0,0.06666666666666667,uncalibrated,0.06666666666666667,0.06666666666666667,13,0.6,0.16173116408960717
30,0.4,0.6,0.0,0.16666666666666666,0.0,0.06666666666666667,point,0.06666666666666667,0.06666666666666667,13,0.6,0.16173116408960717
30,0.0,0.13333333333333333,0.8666666666666667,,0.0,0.0,split_cp,0.0,0.17333333333333337,13,1.0,0.6814469880327182
30,0.2,0.5666666666666667,0.23333333333333334,0.0,0.0,0.0,crc,0.0,0.04666666666666666,13,0.6,0.16173116408960717
30,0.2,0.5666666666666667,0.23333333333333334,0.0,0.0,0.0,rac,0.0,0.04666666666666666,13,0.6,0.16173116408960717
31,0.2903225806451613,0.7096774193548387,0.0,0.1111111111111111,0.045454545454545456,0.06451612903225806,uncalibrated,0.06451612903225806,0.06451612903225806,14,0.6129032258064516,0.15111591435039767
31,0.2903225806451613,0.7096774193548387,0.0,0.1111111111111111,0.045454545454545456,0.06451612903225806,point,0.06451612903225806,0.06451612903225806,14,0.6129032258064516,0.15111591435039767
31,0.03225806451612903,0.16129032258064516,0.8064516129032258,0.0,0.0,0.0,split_cp,0.0,0.16129032258064518,14,0.9354838709677419,0.6469916801991991
31,0.12903225806451613,0.5806451612903226,0.2903225806451613,0.0,0.0,0.0,crc,0.0,0.05806451612903226,14,0.6129032258064516,0.15111591435039767
31,0.12903225806451613,0.5806451612903226,0.2903225806451613,0.0,0.0,0.0,rac,0.0,0.05806451612903226,14,0.6129032258064516,0.15111591435039767
